Urun AdÄ±,Birim,En DÃ¼ÅÃ¼k Fiyat,En YÃ¼ksek Fiyat
Armut,Kilogram,"7,00 TL","8,00 TL"
Armut (AkÃ§a),Kilogram,"30,00 TL","51,00 TL"
Armut (Ankara),Kilogram,"15,00 TL","17,00 TL"
Armut (Deveci),Kilogram,"10,00 TL","20,00 TL"
Armut (Santamaria),Kilogram,"20,00 TL","30,00 TL"
Avakado,Adet,"10,00 TL","20,00 TL"
Ãilek II.,Kilogram,"10,00 TL","20,00 TL"
Ãilek(I.),Kilogram,"25,00 TL","55,00 TL"
Dut,Kilogram,"15,00 TL","35,00 TL"
Elma (Amasya),Kilogram,"10,00 TL","22,00 TL"
Elma (Bodur),Kilogram,"25,00 TL","35,00 TL"
Elma (Golden),Kilogram,"13,00 TL","30,00 TL"
Elma (Gransimit),Kilogram,"18,00 TL","35,00 TL"
Elma (Starkin),Kilogram,"13,00 TL","30,00 TL"
Elma(fuji),Kilogram,"15,00 TL","25,00 TL"
Elma(GoldenII.),Kilogram,"10,00 TL","12,00 TL"
Elma(gransimit)II.,Kilogram,"10,00 TL","15,00 TL"
Elma(starkin)II.,Kilogram,"10,00 TL","12,00 TL"
Erik (Anjelik),Kilogram,"30,00 TL","50,00 TL"
Erik (Can),Kilogram,"15,00 TL","20,00 TL"
Erik (Malta),Kilogram,"25,00 TL","40,00 TL"
Erik (Papaz),Kilogram,"30,00 TL","50,00 TL"
Erik Malta(ikinci),Kilogram,"15,00 TL","25,00 TL"
Greyfurt,Kilogram,"20,00 TL","30,00 TL"
Karpuz (1.Kalite),Kilogram,"6,00 TL","8,00 TL"
Karpuz (2.Kalite),Kilogram,"3,00 TL","5,00 TL"
Kavun,Kilogram,"10,00 TL","22,00 TL"
Kavun (ÃÄ±kma),Kilogram,"10,00 TL","12,00 TL"
KayÄ±sÄ± (IÄdÄ±r),Kilogram,"15,00 TL","30,00 TL"
KayÄ±sÄ± I.,Kilogram,"15,00 TL","35,00 TL"
Kiraz,Kilogram,"70,00 TL","120,00 TL"
Kiraz II.,Kilogram,"20,00 TL","40,00 TL"
Kivi (Yerli),Kilogram,"15,00 TL","35,00 TL"
Limon,Kilogram,"10,00 TL","15,00 TL"
Limon (ÃÄ±kma),SandÄ±k,"5,00 TL","7,00 TL"
Limon (Enter),Kilogram,"7,00 TL","10,00 TL"
Limon (Lamas),Kilogram,"15,00 TL","18,00 TL"
Muz (Yerli),Kilogram,"20,00 TL","30,00 TL"
Muz(Yerli II.),Kilogram,"10,00 TL","15,00 TL"
Nar,Kilogram,"20,00 TL","40,00 TL"
Nektarin,Kilogram,"15,00 TL","40,00 TL"
Pitahaya (Ejder Meyvesi),Kilogram,"20,00 TL","50,00 TL"
Portakal,Kilogram,"8,00 TL","14,00 TL"
Portakal (SÄ±kmalÄ±k),Kilogram,"8,00 TL","10,00 TL"
Portakal(lÃ¼x),Kilogram,"15,00 TL","20,00 TL"
Åeftali,Kilogram,"15,00 TL","35,00 TL"
ÃzÃ¼m,Kilogram,"20,00 TL","30,00 TL"
ÃzÃ¼m (Ãekirdeksiz),Kilogram,"20,00 TL","30,00 TL"
ÃzÃ¼m(Siyah),Kilogram,"20,00 TL","30,00 TL"
